mode,n_measurements,study_end_week,duration_label,mu_baseline,sigma_baseline,target_att,rho,h_init,power,mean_att,mean_se,sd_att
ap_only,2,78,1.5yr,0.5,0.1,0.2,0.9,-0.05,0.442,0.1928722344083319,0.10333313007801347,0.10597364810567195
ap_only,2,78,1.5yr,0.5,0.1,0.3,0.9,-0.05,0.801,0.29664963796897553,0.10305608570700077,0.10144351222602535
ap_only,2,78,1.5yr,0.5,0.1,0.12,0.9,0.05,0.156,0.09670688174988755,0.09867054760358997,0.09948551380351074
ap_only,2,78,1.5yr,0.5,0.1,0.25,0.9,-0.05,0.655,0.24995067058498163,0.10304886605384632,0.10324205238662269
ap_only,2,78,1.5yr,0.5,0.1,0.25,0.7,-0.05,0.785,0.252137660202951,0.08843551427532712,0.08607972205755535
ap_only,2,78,1.5yr,0.5,0.1,0.2,0.9,0.05,0.333,0.15300113898906853,0.09783745203726818,0.10133013756577039
ap_only,2,78,1.5yr,0.5,0.1,0.3,0.9,0.05,0.507,0.1972809429667045,0.09775624461551112,0.09730825676338808
ap_only,2,78,1.5yr,0.5,0.1,0.15,0.9,0.0,0.267,0.14659391172254047,0.10642847615411379,0.1064242222333553
ap_only,2,78,1.5yr,0.5,0.1,0.3,0.5,-0.05,0.977,0.2976684106813848,0.07415040012178763,0.07474439701899424
ap_only,2,78,1.5yr,0.5,0.1,0.15,0.7,-0.05,0.356,0.14576690357976163,0.08876542820590423,0.09029041475283177
ap_only,2,78,1.5yr,0.5,0.1,0.3,0.7,-0.05,0.906,0.29709164798064813,0.08814728390246361,0.08828709315080177
ap_only,2,78,1.5yr,0.5,0.1,0.25,0.9,0.0,0.629,0.24830988102375942,0.105234907962357,0.10573321601451834
ap_only,2,78,1.5yr,0.5,0.1,0.3,0.5,0.05,0.977,0.296141807795364,0.07405680401518504,0.07051537000629761
ap_only,2,78,1.5yr,0.5,0.1,0.25,0.7,0.05,0.802,0.24520298438360566,0.08741458549399728,0.08665470548905559
ap_only,2,78,1.5yr,0.5,0.1,0.2,0.7,0.05,0.579,0.19485753820539162,0.08759762773860827,0.09285877107366675
ap_only,2,78,1.5yr,0.5,0.1,0.2,0.9,0.0,0.447,0.2018159438404218,0.1061896985477456,0.10198191141792853
ap_only,2,78,1.5yr,0.5,0.1,0.3,0.7,0.0,0.91,0.30196259147604904,0.08915559422591955,0.09118570823176507
ap_only,2,78,1.5yr,0.5,0.1,0.4,0.5,0.0,1.0,0.3943251996761592,0.07499322076854606,0.07529287664628041
ap_only,2,78,1.5yr,0.5,0.1,0.2,0.5,0.0,0.744,0.19889614329114216,0.07526256985431902,0.07544160773134939
ap_only,2,78,1.5yr,0.5,0.1,0.2,0.7,-0.05,0.591,0.20135218130576427,0.08857934499525874,0.08682910697460332
ap_only,2,78,1.5yr,0.5,0.1,0.4,0.5,-0.05,1.0,0.3939243020026813,0.07401006276049137,0.07187448808260775
ap_only,2,78,1.5yr,0.5,0.1,0.15,0.5,0.05,0.502,0.1514054909356613,0.07451216777827671,0.07559750126752139
ap_only,2,78,1.5yr,0.5,0.1,0.3,0.5,0.0,0.967,0.2983927193416999,0.07477079804657392,0.07592277373975304
ap_only,2,78,1.5yr,0.5,0.1,0.12,0.5,0.05,0.375,0.12471709573720133,0.07418575113140638,0.07356578032207257
ap_only,2,78,1.5yr,0.5,0.1,0.4,0.5,0.05,1.0,0.3772655330799644,0.07367033819767202,0.0720049709458706
ap_only,2,78,1.5yr,0.5,0.1,0.25,0.9,0.05,0.443,0.18127106446022254,0.0977547308482243,0.09789970100418569
ap_only,2,78,1.5yr,0.5,0.1,0.25,0.7,0.0,0.774,0.24647528176671155,0.08936242742882732,0.09098064751247793
ap_only,2,78,1.5yr,0.5,0.1,0.15,0.9,-0.05,0.262,0.141702667002356,0.10251839882057402,0.10471556640383368
ap_only,2,78,1.5yr,0.5,0.1,0.25,0.5,0.05,0.908,0.2466596376713449,0.07408344930121401,0.07362324812355586
ap_only,2,78,1.5yr,0.5,0.1,0.12,0.9,-0.05,0.201,0.11824362852839129,0.10207314909505316,0.1005862347472383
ap_only,2,78,1.5yr,0.5,0.1,0.12,0.7,-0.05,0.279,0.12595799195871976,0.0883857521461079,0.08748578722658665
ap_only,2,78,1.5yr,0.5,0.1,0.3,0.9,0.0,0.811,0.29688547284587957,0.10400028513121691,0.10254354116614987
ap_only,2,78,1.5yr,0.5,0.1,0.15,0.9,0.05,0.229,0.12346950163179576,0.09857470203033025,0.09788543935439689
ap_only,2,78,1.5yr,0.5,0.1,0.12,0.7,0.05,0.277,0.12335508710943582,0.08801054597780157,0.08875652860096028
ap_only,2,78,1.5yr,0.5,0.1,0.2,0.5,-0.05,0.722,0.19886594934492322,0.07451450899114014,0.07655083906650341
ap_only,2,78,1.5yr,0.5,0.1,0.15,0.5,0.0,0.526,0.1558708507803588,0.07529137984570233,0.07582392293418058
ap_only,2,78,1.5yr,0.5,0.1,0.25,0.5,0.0,0.902,0.2528608653169968,0.07474984852719366,0.07540162894020515
ap_only,2,78,1.5yr,0.5,0.1,0.15,0.5,-0.05,0.505,0.15173211487315394,0.07441696009794944,0.07561589995957779
ap_only,2,78,1.5yr,0.5,0.1,0.12,0.7,0.0,0.246,0.11944346628956518,0.08993312112894719,0.08642501229205353
ap_only,2,78,1.5yr,0.5,0.1,0.15,0.7,0.05,0.374,0.14854067112041305,0.08822550711787798,0.084889350310001
ap_only,2,78,1.5yr,0.5,0.1,0.12,0.9,0.0,0.197,0.12019268895837504,0.10660964728681249,0.10970465152156483
ap_only,2,78,1.5yr,0.5,0.1,0.3,0.7,0.05,0.911,0.29439182937350156,0.08728646366170284,0.08752918558559795
ap_only,2,78,1.5yr,0.5,0.1,0.15,0.7,0.0,0.371,0.14672124189185207,0.0893362985155515,0.08823780384088684
ap_only,2,78,1.5yr,0.5,0.1,0.2,0.5,0.05,0.752,0.19860225614864807,0.07434136023938706,0.0709575949271761
ap_only,2,78,1.5yr,0.5,0.1,0.25,0.5,-0.05,0.912,0.25047953493505154,0.07439573183424011,0.07556972415390023
ap_only,2,78,1.5yr,0.5,0.1,0.12,0.5,-0.05,0.377,0.12250097223660283,0.07413487857714213,0.07310852714451885
ap_only,2,78,1.5yr,0.5,0.1,0.12,0.5,0.0,0.34,0.11795098868874265,0.07519899817807459,0.07622750157210702
ap_only,2,78,1.5yr,0.5,0.1,0.2,0.7,0.0,0.568,0.19891950810807596,0.08913713552213749,0.0927305555732608
ap_only,2,78,1.5yr,0.5,0.1,0.4,0.9,0.05,0.57,0.21696599785770052,0.09807797024081404,0.10135574873453743
ap_only,2,78,1.5yr,0.5,0.1,0.4,0.7,0.05,0.98,0.3578502192368033,0.08730335972372481,0.08760714297885705
ap_only,2,78,1.5yr,0.5,0.1,0.4,0.7,0.0,0.992,0.3896978702014165,0.0882847375747358,0.0891326026180793
ap_only,2,78,1.5yr,0.5,0.1,0.4,0.7,-0.05,0.996,0.4004035980249477,0.08764369408257104,0.0880381873027004
ap_only,2,78,1.5yr,0.5,0.1,0.4,0.9,-0.05,0.97,0.40041089900630766,0.10191515368117281,0.10560443947544657
ap_only,2,78,1.5yr,0.5,0.1,0.4,0.9,0.0,0.956,0.38290959691953697,0.10257865521943131,0.10247615724502819
ap_only,2,78,1.5yr,0.5,0.2,0.02,0.9,-0.05,0.058,0.01253600972521029,0.09666960611360625,0.10105991661741164
ap_only,2,78,1.5yr,0.5,0.2,0.02,0.9,0.0,0.04,0.011718015360857348,0.10187864428137822,0.10254696439823716
ap_only,2,78,1.5yr,0.5,0.2,0.02,0.7,0.0,0.046,0.0216811412792979,0.08480562752697329,0.08161256346005978
ap_only,2,78,1.5yr,0.5,0.2,0.02,0.7,-0.05,0.059,0.023900952674370108,0.08327708600504971,0.08513315378257183
ap_only,2,78,1.5yr,0.5,0.2,0.02,0.5,0.05,0.07,0.021682961694839575,0.07035925590468313,0.07152772048552922
ap_only,2,78,1.5yr,0.5,0.2,0.02,0.5,-0.05,0.05,0.02144370585123486,0.0702785283893629,0.07007525647127197
ap_only,2,78,1.5yr,0.5,0.2,0.02,0.5,0.0,0.056,0.022071031904024742,0.07112620030628757,0.0721099406601113
ap_only,2,78,1.5yr,0.5,0.2,0.02,0.7,0.05,0.043,0.016773417035993218,0.08321028723589555,0.07943369166953827
ap_only,2,78,1.5yr,0.5,0.2,0.02,0.9,0.05,0.059,0.012793490111729505,0.09548503073789773,0.09707588885787087
ap_only,2,78,1.5yr,0.5,0.2,0.05,0.7,-0.05,0.072,0.04935275227469145,0.0832044574997977,0.08093647880200809
ap_only,2,78,1.5yr,0.5,0.2,0.05,0.9,0.0,0.076,0.05175304455845106,0.10122822341890324,0.10451229845029264
ap_only,2,78,1.5yr,0.5,0.2,0.05,0.5,-0.05,0.109,0.049329870245528894,0.07051430466182551,0.07086353930022699
ap_only,2,78,1.5yr,0.5,0.2,0.05,0.5,0.0,0.096,0.04819014036060426,0.07139087111425875,0.07168623859861037
