mode,n_measurements,study_end_week,duration_label,mu_baseline,sigma_baseline,target_att,rho,h_init,power,mean_att,mean_se,sd_att
ap_only,3,52,1yr,0.7,0.2,0.08,0.9,0.05,0.086,0.04377522088032847,0.06788809380187809,0.06802204967591566
ap_only,3,52,1yr,0.7,0.1,0.4,0.5,0.0,0.997,0.28814939795869166,0.05896785954359293,0.059147665873329154
ap_only,3,52,1yr,0.7,0.1,0.4,0.9,0.05,0.204,0.08031932742044003,0.06774213528418249,0.06738051682794634
ap_only,3,52,1yr,0.7,0.2,0.02,0.5,0.0,0.054,0.02080719226693789,0.05654980595073025,0.05430740710425965
ap_only,3,52,1yr,0.7,0.1,0.3,0.7,0.0,0.949,0.2535567141741666,0.06887711559931128,0.06928315712885501
ap_only,3,52,1yr,0.7,0.2,0.05,0.9,0.05,0.073,0.028021050731814264,0.06842281394798237,0.06906470589988148
ap_only,3,52,1yr,0.7,0.2,0.05,0.5,-0.05,0.132,0.049052978186059776,0.05891963744565685,0.058949317021956646
ap_only,3,52,1yr,0.7,0.1,0.3,0.7,0.05,0.893,0.20082128818020728,0.06280203348944362,0.06341840538484783
ap_only,3,52,1yr,0.7,0.2,0.05,0.9,0.0,0.08,0.046199973386574784,0.08267819704839073,0.08278922268754123
ap_only,3,52,1yr,0.7,0.2,0.05,0.5,0.05,0.13,0.045129678481003736,0.05234096081912553,0.053077967888187055
ap_only,3,52,1yr,0.7,0.2,0.08,0.9,-0.05,0.143,0.08133799644550814,0.08850497840734378,0.09004754690433549
ap_only,3,52,1yr,0.7,0.1,0.3,0.5,-0.05,0.997,0.27588845748244567,0.06015979370941227,0.06113940330461461
ap_only,3,52,1yr,0.7,0.2,0.02,0.5,-0.05,0.066,0.023991584095031895,0.05889430378133278,0.059517756285519016
ap_only,3,52,1yr,0.7,0.2,0.08,0.7,0.05,0.179,0.07054802557920431,0.06172619451970409,0.06154007446841488
ap_only,3,52,1yr,0.7,0.1,0.3,0.9,-0.05,0.894,0.29645999524302213,0.0892206000650083,0.09139571688280347
ap_only,3,52,1yr,0.7,0.2,0.02,0.9,0.0,0.059,0.017282616034359117,0.08345398833850663,0.08565054666779576
ap_only,3,52,1yr,0.7,0.2,0.02,0.7,0.0,0.055,0.0200190580933074,0.06843748036701279,0.07036015500684262
ap_only,3,52,1yr,0.7,0.1,0.3,0.9,0.05,0.19,0.07658137347463062,0.06699746631489237,0.06526176933197649
ap_only,3,52,1yr,0.7,0.2,0.08,0.9,0.0,0.14,0.07257397349471303,0.08241854451978761,0.08415380578256142
ap_only,3,52,1yr,0.7,0.2,0.08,0.7,-0.05,0.21,0.08176618567922664,0.07185028439532644,0.07259423958684288
ap_only,3,52,1yr,0.7,0.2,0.08,0.7,0.0,0.173,0.07462883492204014,0.06800150416342457,0.06810566209235377
ap_only,3,52,1yr,0.7,0.2,0.1,0.5,0.05,0.377,0.09065707482111592,0.05198749381262927,0.05242932508607343
