mode,n_measurements,study_end_week,duration_label,mu_baseline,sigma_baseline,target_att,rho,h_init,power,mean_att,mean_se,sd_att
pooled,2,52,1yr,0.3,0.2,0.08,0.9,0.05,0.189,0.07353165583589617,0.06823519978802901,0.0684744428425357
pooled,2,52,1yr,0.3,0.2,0.15,0.7,0.05,0.651,0.14622067011697312,0.06129458235194456,0.06338372544836578
pooled,2,52,1yr,0.3,0.2,0.15,0.9,-0.05,0.536,0.11785214178618451,0.05691046030508118,0.05740519276015632
pooled,2,52,1yr,0.3,0.2,0.08,0.9,-0.05,0.16,0.05779410800220067,0.055059324460277864,0.053039057752918554
pooled,2,52,1yr,0.3,0.2,0.2,0.9,0.0,0.821,0.19643971364945179,0.06639053173509424,0.07004995101963203
pooled,2,52,1yr,0.3,0.2,0.2,0.5,0.0,0.97,0.1981329614262026,0.04979039511923412,0.05223784132682153
pooled,2,52,1yr,0.3,0.2,0.12,0.9,0.0,0.423,0.11561294734262484,0.06617739683700173,0.06875062257975516
pooled,2,52,1yr,0.3,0.2,0.2,0.5,-0.05,0.984,0.1994508778809577,0.04661111066967045,0.047015633980920686
pooled,2,52,1yr,0.3,0.2,0.12,0.9,0.05,0.366,0.11300045503962802,0.06787941207503093,0.06906121091123497
pooled,2,52,1yr,0.3,0.2,0.08,0.5,-0.05,0.403,0.0785298797787437,0.04625087978542929,0.04936590850992768
pooled,2,52,1yr,0.3,0.2,0.08,0.7,0.0,0.29,0.07989161773069493,0.05894183717000927,0.058952790820560055
pooled,2,52,1yr,0.3,0.2,0.15,0.7,-0.05,0.732,0.1426697639666956,0.05455948803124807,0.057564117694079646
pooled,2,52,1yr,0.3,0.2,0.15,0.9,0.05,0.541,0.13959046762039654,0.06772711124797628,0.06730313221819414
pooled,2,52,1yr,0.3,0.2,0.08,0.5,0.0,0.385,0.08374063316247139,0.0494024421137455,0.04916929548407914
pooled,2,52,1yr,0.3,0.2,0.2,0.7,0.0,0.902,0.19580215115758387,0.058810770182083937,0.059942163761512984
