mode,n_measurements,duration_label,mu_baseline,sigma_baseline,rho,h_init,mde
ap_only,2,1yr,0.7,0.1,0.5,-0.05,0.2147058823529412
ap_only,2,1yr,0.7,0.1,0.5,0.0,0.2109848484848485
ap_only,2,1yr,0.7,0.1,0.5,0.05,0.2045977011494253
ap_only,2,1yr,0.7,0.1,0.7,-0.05,0.2552325581395349
ap_only,2,1yr,0.7,0.1,0.7,0.0,0.2654929577464789
ap_only,2,1yr,0.7,0.1,0.7,0.05,
ap_only,2,1yr,0.7,0.1,0.9,-0.05,0.2949404761904762
ap_only,2,1yr,0.7,0.1,0.9,0.0,
ap_only,2,1yr,0.7,0.1,0.9,0.05,
ap_only,2,1yr,0.7,0.2,0.5,-0.05,0.22208588957055217
ap_only,2,1yr,0.7,0.2,0.5,0.0,0.2222857142857143
ap_only,2,1yr,0.7,0.2,0.5,0.05,0.23490566037735852
ap_only,2,1yr,0.7,0.2,0.7,-0.05,0.2723076923076923
ap_only,2,1yr,0.7,0.2,0.7,0.0,0.28535353535353536
ap_only,2,1yr,0.7,0.2,0.7,0.05,0.3800000000000001
ap_only,2,1yr,0.7,0.2,0.9,-0.05,0.29774436090225564
ap_only,2,1yr,0.7,0.2,0.9,0.0,
ap_only,2,1yr,0.7,0.2,0.9,0.05,
ap_only,2,6mo,0.3,0.1,0.5,-0.05,0.20760869565217394
ap_only,2,6mo,0.3,0.1,0.5,0.0,0.2235849056603774
ap_only,2,6mo,0.3,0.1,0.5,0.05,0.22765957446808513
ap_only,2,6mo,0.3,0.1,0.7,-0.05,0.23677884615384617
ap_only,2,6mo,0.3,0.1,0.7,0.0,0.25725190839694656
ap_only,2,6mo,0.3,0.1,0.7,0.05,0.2612676056338028
ap_only,2,6mo,0.3,0.1,0.9,-0.05,0.23854166666666668
ap_only,2,6mo,0.3,0.1,0.9,0.0,0.25229357798165136
ap_only,2,6mo,0.3,0.1,0.9,0.05,0.33364485981308417
ap_only,2,6mo,0.3,0.2,0.5,-0.05,0.1995689655172414
ap_only,2,6mo,0.3,0.2,0.5,0.0,0.21461038961038964
ap_only,2,6mo,0.3,0.2,0.5,0.05,0.22369942196531795
ap_only,2,6mo,0.3,0.2,0.7,-0.05,0.24219653179190753
ap_only,2,6mo,0.3,0.2,0.7,0.0,0.24747706422018348
ap_only,2,6mo,0.3,0.2,0.7,0.05,0.2658064516129032
ap_only,2,6mo,0.3,0.2,0.9,-0.05,0.24020100502512565
ap_only,2,6mo,0.3,0.2,0.9,0.0,0.25892857142857145
ap_only,2,6mo,0.3,0.2,0.9,0.05,0.3831578947368422
ap_only,2,6mo,0.5,0.1,0.5,-0.05,0.2377450980392157
ap_only,2,6mo,0.5,0.1,0.5,0.0,0.23031088082901555
ap_only,2,6mo,0.5,0.1,0.5,0.05,0.23620689655172417
