mode,n_measurements,study_end_week,duration_label,mu_baseline,sigma_baseline,target_att,rho,h_init,power,mean_att,mean_se,sd_att
ap_only,2,26,6mo,0.3,0.1,0.12,0.5,0.05,0.274,0.11738551784653255,0.07993294516730669,0.07924856095104396
ap_only,2,26,6mo,0.3,0.1,0.15,0.5,0.0,0.527,0.1541813177508766,0.07643288027998622,0.07851226863458836
ap_only,2,26,6mo,0.3,0.1,0.08,0.9,0.05,0.12,0.08141964788479496,0.09573776679336463,0.09095137430308921
ap_only,2,26,6mo,0.3,0.1,0.1,0.9,0.0,0.206,0.10396931842667137,0.0916023600383146,0.09196518482387396
ap_only,2,26,6mo,0.3,0.1,0.05,0.7,0.0,0.071,0.05075063995318407,0.08849088780884852,0.08633733004572523
ap_only,2,26,6mo,0.3,0.1,0.12,0.9,-0.05,0.303,0.11123494144091202,0.07479458045625029,0.07434320907737933
ap_only,2,26,6mo,0.3,0.1,0.08,0.5,0.0,0.157,0.0817151956964604,0.07592936479944018,0.07466590921401874
ap_only,2,26,6mo,0.3,0.1,0.12,0.7,0.05,0.228,0.11728554844175433,0.09378574781901886,0.09270648539693652
ap_only,2,26,6mo,0.3,0.1,0.12,0.9,0.0,0.261,0.11797084595306655,0.09149855468400417,0.09570877055788862
ap_only,2,26,6mo,0.3,0.1,0.02,0.5,-0.05,0.055,0.018878399748943866,0.0703267295893819,0.07149338901438504
ap_only,2,26,6mo,0.3,0.1,0.08,0.7,-0.05,0.165,0.08063826458835283,0.08058194367125159,0.08070935101172602
ap_only,2,26,6mo,0.3,0.1,0.02,0.9,-0.05,0.046,0.01352396052476935,0.06882558002911034,0.06897280919189593
ap_only,2,26,6mo,0.3,0.1,0.02,0.9,0.05,0.061,0.017723832442067735,0.09634575798945036,0.09964217650145128
ap_only,2,26,6mo,0.3,0.1,0.05,0.9,-0.05,0.103,0.04223702756230697,0.06969406431719401,0.07115980707325595
ap_only,2,26,6mo,0.3,0.1,0.02,0.7,0.0,0.058,0.023503775167642814,0.08768801737310813,0.08726076006027968
ap_only,2,26,6mo,0.3,0.1,0.1,0.7,-0.05,0.243,0.10460256789942084,0.08147368395153606,0.08210435467826811
ap_only,2,26,6mo,0.3,0.1,0.12,0.9,0.05,0.232,0.11904028144731087,0.09546213233413663,0.09512977416806635
ap_only,2,26,6mo,0.3,0.1,0.08,0.9,-0.05,0.17,0.07653970766814885,0.07199741280791117,0.07257603277029792
ap_only,2,26,6mo,0.3,0.1,0.1,0.9,-0.05,0.232,0.09112293519389109,0.07345349519144005,0.0773372664257333
ap_only,2,26,6mo,0.3,0.1,0.05,0.7,0.05,0.069,0.04810707596978185,0.09317273496475284,0.09102895559066564
ap_only,2,26,6mo,0.3,0.1,0.15,0.5,-0.05,0.509,0.1463079175840499,0.07118095483873896,0.0734549972402063
ap_only,2,26,6mo,0.3,0.1,0.12,0.5,-0.05,0.399,0.12496156913184854,0.07140228048231834,0.07193716485417595
ap_only,2,26,6mo,0.3,0.1,0.1,0.7,0.05,0.177,0.09958843767996708,0.09367621528670857,0.09311861427833786
ap_only,2,26,6mo,0.3,0.1,0.08,0.9,0.0,0.14,0.08520849558611324,0.09098124328127702,0.09097053247497545
ap_only,2,26,6mo,0.3,0.1,0.12,0.5,0.0,0.32,0.11707060085502732,0.07633528984113064,0.07580479705423389
ap_only,2,26,6mo,0.3,0.1,0.05,0.7,-0.05,0.079,0.042451625301169416,0.08053789989498882,0.08086484565227971
ap_only,2,26,6mo,0.3,0.1,0.08,0.5,-0.05,0.179,0.07759460805207866,0.0711568922400657,0.07013803255284012
ap_only,2,26,6mo,0.3,0.1,0.02,0.5,0.05,0.073,0.023066137292446116,0.07863666940935125,0.08022026634315409
ap_only,2,26,6mo,0.3,0.1,0.1,0.9,0.05,0.198,0.10624851535392711,0.09524648200438307,0.09315586137371128
ap_only,2,26,6mo,0.3,0.1,0.1,0.7,0.0,0.194,0.09908535141818965,0.08913251494277068,0.09112975160509368
ap_only,2,26,6mo,0.3,0.1,0.1,0.5,0.05,0.249,0.10290698386417503,0.07983364863563483,0.08178031803085738
ap_only,2,26,6mo,0.3,0.1,0.08,0.5,0.05,0.179,0.08099696748349688,0.07919775435062504,0.0811912188469476
ap_only,2,26,6mo,0.3,0.1,0.02,0.9,0.0,0.055,0.02541232362245598,0.08957343701328555,0.09003435004587615
ap_only,2,26,6mo,0.3,0.1,0.12,0.7,0.0,0.273,0.12387325256442903,0.08919860520971895,0.0904173958693068
ap_only,2,26,6mo,0.3,0.1,0.1,0.5,-0.05,0.279,0.10115987788355435,0.07075674928324537,0.06928398255437082
ap_only,2,26,6mo,0.3,0.1,0.05,0.5,-0.05,0.105,0.05142469980346451,0.07061308222559325,0.07247883255258114
ap_only,2,26,6mo,0.3,0.1,0.1,0.5,0.0,0.236,0.09995615153637212,0.07607302327375526,0.07643766981784317
ap_only,2,26,6mo,0.3,0.1,0.08,0.7,0.05,0.132,0.08142603271728273,0.09343080900910988,0.09170243475554184
ap_only,2,26,6mo,0.3,0.1,0.02,0.5,0.0,0.065,0.022607376099390807,0.07556511760487754,0.07756596770429998
ap_only,2,26,6mo,0.3,0.1,0.15,0.5,0.05,0.447,0.14972775091901563,0.07981102568598102,0.08026405657694685
ap_only,2,26,6mo,0.3,0.1,0.02,0.7,-0.05,0.06,0.01824429571735454,0.0793964804413431,0.08171484263179338
ap_only,2,26,6mo,0.3,0.1,0.05,0.9,0.05,0.071,0.053245749585381946,0.0956986732126722,0.09192139156788162
ap_only,2,26,6mo,0.3,0.1,0.05,0.5,0.0,0.092,0.04663651031648091,0.07552987676786867,0.07670225836353223
ap_only,2,26,6mo,0.3,0.1,0.08,0.7,0.0,0.142,0.08126074015526957,0.08874751305127494,0.0886714408554176
ap_only,2,26,6mo,0.3,0.1,0.05,0.5,0.05,0.082,0.04732916014867486,0.07962725108323652,0.0775481210535245
ap_only,2,26,6mo,0.3,0.1,0.12,0.7,-0.05,0.311,0.12362805479324598,0.08128630863734082,0.08244990662455046
ap_only,2,26,6mo,0.3,0.1,0.05,0.9,0.0,0.106,0.06173374189862426,0.09034648744524679,0.09244834060879063
ap_only,2,26,6mo,0.3,0.1,0.02,0.7,0.05,0.053,0.017212400783856666,0.0932904430061948,0.09115754157667426
ap_only,2,26,6mo,0.3,0.1,0.15,0.9,0.0,0.389,0.15803034055486995,0.09222562716820545,0.09326912351490418
ap_only,2,26,6mo,0.3,0.1,0.15,0.7,-0.05,0.458,0.15474238160042572,0.08237133864686165,0.08247817821671784
ap_only,2,26,6mo,0.3,0.1,0.2,0.7,-0.05,0.647,0.19707121176046177,0.08233825980471823,0.08175236005080971
ap_only,2,26,6mo,0.3,0.1,0.15,0.9,-0.05,0.467,0.14341281411235823,0.07648147386948868,0.0786295083398715
ap_only,2,26,6mo,0.3,0.1,0.15,0.7,0.05,0.358,0.1527982240308711,0.09328678083909166,0.08994765146982103
ap_only,2,26,6mo,0.3,0.1,0.2,0.7,0.0,0.608,0.2049574611271082,0.08896298321582202,0.09073035337195962
ap_only,2,26,6mo,0.3,0.1,0.2,0.5,0.0,0.725,0.20097643055147466,0.07601097924705354,0.07583527552368986
ap_only,2,26,6mo,0.3,0.1,0.2,0.9,0.05,0.514,0.1954928353754089,0.094184901213497,0.0986812478485028
ap_only,2,26,6mo,0.3,0.1,0.2,0.5,-0.05,0.779,0.1997920661005661,0.07130618110461673,0.07017618951130844
ap_only,2,26,6mo,0.3,0.1,0.15,0.7,0.0,0.342,0.14403241138763195,0.08925468822912075,0.09180386900090393
ap_only,2,26,6mo,0.3,0.1,0.2,0.9,-0.05,0.652,0.18896771725823197,0.0776304488724312,0.07884684526225298
ap_only,2,26,6mo,0.3,0.1,0.25,0.7,-0.05,0.855,0.25576202844377843,0.0830581294566432,0.08292230886657169
ap_only,2,26,6mo,0.3,0.1,0.2,0.7,0.05,0.563,0.2063575185272244,0.09321482715531652,0.09142713675775516
ap_only,2,26,6mo,0.3,0.1,0.25,0.7,0.0,0.781,0.250056809355677,0.08962482956986016,0.0913173154038172
ap_only,2,26,6mo,0.3,0.1,0.2,0.9,0.0,0.596,0.20865705199375786,0.09259490457991308,0.09280143848294412
ap_only,2,26,6mo,0.3,0.1,0.3,0.7,0.0,0.912,0.30081178345184223,0.08884149196171924,0.08984041171237855
ap_only,2,26,6mo,0.3,0.1,0.15,0.9,0.05,0.328,0.14801384956383487,0.09406514595460215,0.09598148974290491
ap_only,2,26,6mo,0.3,0.1,0.25,0.5,-0.05,0.917,0.24893992840003135,0.07154632834174643,0.07307796906965808
ap_only,2,26,6mo,0.3,0.1,0.25,0.5,0.0,0.884,0.25078002504031915,0.07639016373863271,0.07943956503869484
ap_only,2,26,6mo,0.3,0.1,0.2,0.5,0.05,0.722,0.20377918454584631,0.07923335327787476,0.07918729757854726
ap_only,2,26,6mo,0.3,0.1,0.25,0.9,0.05,0.685,0.23325082398973576,0.09386773862262614,0.09407706438539976
ap_only,2,26,6mo,0.3,0.1,0.25,0.9,-0.05,0.844,0.24273036668070488,0.08054265849389439,0.07986707357166341
ap_only,2,26,6mo,0.3,0.1,0.3,0.7,-0.05,0.947,0.3061587349758084,0.08274753602175758,0.08078616505064423
ap_only,2,26,6mo,0.3,0.1,0.25,0.7,0.05,0.768,0.2534870397364074,0.09242323287568321,0.09159742286103137
ap_only,2,26,6mo,0.3,0.1,0.3,0.5,-0.05,0.984,0.3020305470852677,0.07108162537799595,0.07209711785234804
ap_only,2,26,6mo,0.3,0.1,0.3,0.9,0.0,0.904,0.3065283804153363,0.09109096287579337,0.09266831848427631
ap_only,2,26,6mo,0.3,0.1,0.3,0.5,0.0,0.97,0.2993966310601163,0.07625712238294534,0.07761793469946784
ap_only,2,26,6mo,0.3,0.1,0.25,0.9,0.0,0.795,0.26306435822184354,0.09252514995986467,0.09116935693878561
ap_only,2,26,6mo,0.3,0.1,0.25,0.5,0.05,0.863,0.24992352605401136,0.07929319581701187,0.07946693143705369
ap_only,2,26,6mo,0.3,0.1,0.3,0.9,-0.05,0.94,0.29720716290898647,0.08157210047031771,0.08358386620507624
ap_only,2,26,6mo,0.3,0.1,0.3,0.5,0.05,0.956,0.3041550340231664,0.07935016789411602,0.07949405515102005
ap_only,2,26,6mo,0.3,0.1,0.3,0.9,0.05,0.764,0.2545816476562653,0.09376525086912484,0.0915553263746486
ap_only,2,26,6mo,0.3,0.1,0.3,0.7,0.05,0.91,0.3042922585698615,0.0918688303379275,0.0880425008580863
ap_only,2,26,6mo,0.3,0.1,0.4,0.5,0.05,0.997,0.40046659605427254,0.07790190624359149,0.07884656241971064
ap_only,2,26,6mo,0.3,0.1,0.4,0.7,0.0,0.995,0.40771877053828526,0.08706464378677609,0.08992691628404055
ap_only,2,26,6mo,0.3,0.1,0.4,0.5,0.0,0.999,0.40494948174048173,0.0749552727540721,0.07572487132544771
ap_only,2,26,6mo,0.3,0.1,0.4,0.7,-0.05,0.995,0.4065983262864587,0.08167783896889233,0.08257091234556856
ap_only,2,26,6mo,0.3,0.1,0.4,0.7,0.05,0.992,0.4048950343675932,0.08988903212233598,0.09273094069908694
ap_only,2,26,6mo,0.3,0.1,0.4,0.9,0.0,0.985,0.3771591258986112,0.0911456768396585,0.09075355205202017
ap_only,2,26,6mo,0.3,0.1,0.4,0.5,-0.05,1.0,0.4016617816317669,0.07074946717245945,0.07173598500794783
ap_only,2,26,6mo,0.3,0.2,0.02,0.5,-0.05,0.062,0.021558611037655155,0.06875209444469897,0.06846750279509001
ap_only,2,26,6mo,0.3,0.1,0.4,0.9,0.05,0.871,0.29700062496000734,0.09379271635816719,0.09632980440869693
ap_only,2,26,6mo,0.3,0.1,0.4,0.9,-0.05,0.999,0.3965173483330395,0.08249065814952063,0.07708167435480835
ap_only,2,26,6mo,0.3,0.2,0.02,0.5,0.0,0.059,0.023643533925225103,0.07365587086828881,0.07439402843741072
ap_only,2,26,6mo,0.3,0.2,0.02,0.5,0.05,0.049,0.0137582216623246,0.07653460283132076,0.0772195515477178
ap_only,2,26,6mo,0.3,0.2,0.02,0.7,-0.05,0.051,0.017819935267347032,0.07854639823254357,0.07854306708639135
